sample,Acidobacteria,Actinobacteria,Bacteroidetes,Firmicutes,Nitrospirae,Planctomycetes,Proteobacteria,Cyanobacteria,Verrucomicrobia,Fusobacteria,Synergistetes,Fibrobacteres,Deinococcus.Thermus,Spirochaetes,Aquificae,Deferribacteres,Chlorobi,Chloroflexi,Ignavibacteriae,Balneolaeota,Tenericutes
990.KA1F.D.11,0.008849558,0.17699115,0.194690265,0.061946903,0,0.008849558,0.539823009,0,0.008849558,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.D.12,0.016666667,0.1,0.15,0.116666667,0,0,0.6,0,0.016666667,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.D.14,0.008849558,0.132743363,0.212389381,0.088495575,0,0,0.495575221,0.053097345,0.008849558,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.D.15,0.007194245,0.143884892,0.201438849,0.09352518,0.007194245,0.014388489,0.517985612,0,0.014388489,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.D.16,0.012195122,0.170731707,0.158536585,0.097560976,0.012195122,0,0.536585366,0,0.012195122,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.D.18,0.009708738,0.097087379,0.203883495,0.116504854,0,0.009708738,0.553398058,0,0.009708738,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.D.19,0.016129032,0.137096774,0.120967742,0.10483871,0,0.008064516,0.508064516,0.096774194,0.008064516,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.D.20,0.010869565,0.119565217,0.173913043,0.076086957,0,0,0.597826087,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.D.21,0.020833333,0.104166667,0.0625,0.0625,0,0,0.729166667,0,0.020833333,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.D.22,0.010989011,0.098901099,0.21978022,0.120879121,0,0,0.538461538,0,0.010989011,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.D.23,0.00952381,0.123809524,0.2,0.104761905,0,0.00952381,0.428571429,0.114285714,0.00952381,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.D.24,0.008403361,0.168067227,0.18487395,0.058823529,0.008403361,0.008403361,0.504201681,0.050420168,0.008403361,0,0,0,0,0,0,0,0,0,0,0,0
990.KA1F.D.25,0.017241379,0.137931034,0.086206897,0.103448276,0,0,0.534482759,0.103448276,0.017241379,0,0,0,0,0,0,0,0,0,0,0,0
